Group: aopalliance | Artifact: aopalliance | Version: 1.0
Group: io.swagger.core.v3 | Artifact: swagger-core-jakarta | Version: 2.2.19
Group: io.swagger.core.v3 | Artifact: swagger-models-jakarta | Version: 2.2.19
Group: jakarta.activation | Artifact: jakarta.activation-api | Version: 1.2.2
Group: jakarta.activation | Artifact: jakarta.activation-api | Version: 2.1.2
Group: jakarta.activation | Artifact: jakarta.activation-api | Version: 2.1.3
Group: jakarta.activation | Artifact: jakarta.activation-api | Version: 2.1.4
Group: jakarta.annotation | Artifact: jakarta.annotation-api | Version: 1.3.5
Group: jakarta.annotation | Artifact: jakarta.annotation-api | Version: 2.1.1
Group: jakarta.inject | Artifact: jakarta.inject-api | Version: 2.0.1
Group: jakarta.persistence | Artifact: jakarta.persistence-api | Version: 3.1.0
Group: jakarta.transaction | Artifact: jakarta.transaction-api | Version: 2.0.1
Group: jakarta.validation | Artifact: jakarta.validation-api | Version: 3.0.2
Group: jakarta.xml.bind | Artifact: jakarta.xml.bind-api | Version: 2.3.3
Group: jakarta.xml.bind | Artifact: jakarta.xml.bind-api | Version: 4.0.0
Group: jakarta.xml.bind | Artifact: jakarta.xml.bind-api | Version: 4.0.1
Group: jakarta.xml.bind | Artifact: jakarta.xml.bind-api | Version: 4.0.2
Group: jakarta.xml.bind | Artifact: jakarta.xml.bind-api | Version: 4.0.4
Group: javax.annotation | Artifact: javax.annotation-api | Version: 1.3.2
Group: javax.cache | Artifact: cache-api | Version: 1.1.1
Group: javax.inject | Artifact: javax.inject | Version: 1
Group: junit | Artifact: junit | Version: 3.8.1
Group: junit | Artifact: junit | Version: 3.8.2
Group: local.snehal | Artifact: url-shortener | Version: 1.0.0
Group: log4j | Artifact: log4j | Version: 1.2.12
Group: net.bytebuddy | Artifact: byte-buddy | Version: 1.10.22
Group: net.bytebuddy | Artifact: byte-buddy | Version: 1.14.11
Group: net.bytebuddy | Artifact: byte-buddy | Version: 1.14.12
Group: net.bytebuddy | Artifact: byte-buddy | Version: 1.14.5
Group: net.bytebuddy | Artifact: byte-buddy | Version: 1.17.8
Group: net.bytebuddy | Artifact: byte-buddy-agent | Version: 1.10.22
Group: net.bytebuddy | Artifact: byte-buddy-agent | Version: 1.14.12
Group: net.bytebuddy | Artifact: byte-buddy-agent | Version: 1.14.5
Group: net.bytebuddy | Artifact: byte-buddy-agent | Version: 1.17.8
Group: net.java.dev.jna | Artifact: jna | Version: 5.13.0
Group: net.java.dev.jna | Artifact: jna | Version: 5.17.0
Group: net.java.dev.jna | Artifact: jna-platform | Version: 5.13.0
Group: net.java.dev.jna | Artifact: jna-platform | Version: 5.17.0
Group: net.logstash.logback | Artifact: logstash-logback-encoder | Version: 7.4
Group: net.minidev | Artifact: accessors-smart | Version: 2.4.11
Group: net.minidev | Artifact: accessors-smart | Version: 2.4.7
Group: net.minidev | Artifact: accessors-smart | Version: 2.5.0
Group: net.minidev | Artifact: accessors-smart | Version: 2.5.2
Group: net.minidev | Artifact: json-smart | Version: 2.4.11
Group: net.minidev | Artifact: json-smart | Version: 2.4.7
Group: net.minidev | Artifact: json-smart | Version: 2.5.0
Group: net.minidev | Artifact: json-smart | Version: 2.5.2
Group: org.antlr | Artifact: antlr4-runtime | Version: 4.13.0
Group: org.antlr | Artifact: antlr4-runtime | Version: 4.7.2
Group: org.apache.commons | Artifact: commons-collections4 | Version: 4.4
Group: org.apache.commons | Artifact: commons-compress | Version: 1.21
Group: org.apache.commons | Artifact: commons-compress | Version: 1.23.0
Group: org.apache.commons | Artifact: commons-compress | Version: 1.26.1
Group: org.apache.commons | Artifact: commons-compress | Version: 1.27.1
Group: org.apache.commons | Artifact: commons-csv | Version: 1.10.0
Group: org.apache.commons | Artifact: commons-csv | Version: 1.9.0
Group: org.apache.commons | Artifact: commons-lang3 | Version: 3.1
Group: org.apache.commons | Artifact: commons-lang3 | Version: 3.12.0
Group: org.apache.commons | Artifact: commons-lang3 | Version: 3.13.0
Group: org.apache.commons | Artifact: commons-lang3 | Version: 3.14.0
Group: org.apache.commons | Artifact: commons-lang3 | Version: 3.16.0
Group: org.apache.httpcomponents | Artifact: httpclient | Version: 4.5.13
Group: org.apache.httpcomponents | Artifact: httpclient | Version: 4.5.14
Group: org.apache.httpcomponents | Artifact: httpcore | Version: 4.4.16
Group: org.apache.httpcomponents.client5 | Artifact: httpclient5 | Version: 5.2.1
Group: org.apache.httpcomponents.client5 | Artifact: httpclient5 | Version: 5.2.3
Group: org.apache.httpcomponents.client5 | Artifact: httpclient5 | Version: 5.5.1
Group: org.apache.httpcomponents.core5 | Artifact: httpcore5 | Version: 5.2
Group: org.apache.httpcomponents.core5 | Artifact: httpcore5 | Version: 5.2.4
